id,is_iceberg
5941774d,0.8678129
4023181e,0.8357982
b20200e4,0.8623801
e7f018bb,0.8778057
4371c8c3,0.8169842
a8d9b1fd,0.7340002
29e7727e,0.902992
92a51ffb,0.8834423
c769ac97,0.88487464
aee0547d,0.8797034
565b28ac,0.88550264
e04e9775,0.85362893
8e8161d1,0.8793086
4cf4d256,0.8454274
139e5324,0.795016
f156976f,0.8487346
68a117cc,0.8124684
d9aa7a56,0.8643545
9005b143,0.8330799
5f6d3988,0.85938305
9ad70954,0.85168827
b9087b9e,0.85910296
a39a1427,0.82929915
82fbe8ed,0.89593124
1fae4879,0.889246
6dd8f13d,0.85488814
bbad5958,0.86713505
54527583,0.82320446
be8fa29c,0.83396417
81a3328f,0.90336007
1a3c0ab3,0.8393697
4deeeb8b,0.7980758
ac6d5632,0.81243956
472dadb5,0.8489421
96093f95,0.8842715
f5b4e3df,0.88074774
e01a3c92,0.86743146
001680af,0.84948176
8e639f33,0.8707642
a2c16612,0.8560083
a6d76474,0.788114
19c47684,0.81910825
015827b6,0.85645556
7df7f7ce,0.8529358
0bbf1a3f,0.8225024
636cfbb7,0.8634859
7370030a,0.84991676
43aa97ad,0.8393841
ba2b5e63,0.8888806
dfdd335b,0.83317745
e79b13dc,0.86021566
dc32b195,0.8269898
6d868590,0.8772777
75fa59aa,0.8085009
ffe50836,0.8305148
a7bfd784,0.865566
b3d569e3,0.90157247
6c538c5b,0.87799984
5c7c15f4,0.84533846
0b745139,0.8339896
fd14608e,0.8539593
f0bc8305,0.84589046
a10ccb28,0.88561636
543304c7,0.8589774
6c3a4078,0.8895908
9b73cc75,0.82660276
5c6c71b1,0.89216137
09ee9186,0.8249947
207c35cf,0.8084845
153c813e,0.86366934
5605d58b,0.86075604
642ca396,0.8719859
d32d72c0,0.8340153
16646a17,0.8902581
384074af,0.86125267
69bf1e8c,0.83116955
9e90a054,0.8707747
89dbe7f7,0.85809463
dbd27d22,0.81717557
a2ea1561,0.8663073
d63402af,0.8312154
1ac8bb92,0.8914962
8beffca5,0.7959729
46741f3e,0.83587223
e5ee6aa7,0.87009704
5ecd892b,0.8373703
69892166,0.9202372
2f725a81,0.8668303
810abfe4,0.7539649
e6f973e6,0.839695
c60a5c46,0.84986866
c42b9e08,0.9025313
c3f00c23,0.8179706
5307fdb8,0.8879055
3e4f005e,0.87247264
4a4cc2e0,0.8602127
9bdd88d1,0.89477366
0d832bed,0.86069995
14a134fa,0.7651848
78a41676,0.83525085
0bd4658e,0.8112041
4a311bb0,0.8250616
f939c817,0.9020253
956adc4d,0.8783741
f8a119f5,0.83306384
61faa1ad,0.83053565
6725eb3e,0.8791855
17b3a8fd,0.82208663
49a88dfc,0.88295394
2d6ec645,0.8445302
0d4d77ba,0.84888065
3ee672a2,0.8955175
738b41fd,0.8444018
f7fb320d,0.8277593
b42fad18,0.91435766
4ab8b00a,0.85951114
f7870f2b,0.85293293
4978666a,0.8350291
f1b0d6c7,0.9044965
5642407f,0.8832027
36d4ff92,0.8954546
4139aba2,0.8535395
7585ce58,0.85222644
33e25984,0.8703737
ac46f3c9,0.8471122
fc34a5b8,0.8492057
85c36a8f,0.8263312
b2d8a426,0.8552831
13ec60d1,0.8798943
9d440f42,0.8484624
1c0a891e,0.845287
981c3bc3,0.87619376
295604f4,0.86448944
16ca16c3,0.80316216
b4dda837,0.8723536
88d088ef,0.85291296
1b4fa160,0.8037749
f371bd82,0.8269424
b130a0b7,0.87756747
ebf1de82,0.84201455
01e651c3,0.8787812
51b1fecc,0.8239445
fa635a31,0.9039894
97b7d789,0.88326204
2f598053,0.8315498
c0e3e148,0.81573474
cfa175a8,0.89699334
3d7e09d8,0.8696635
44a13d1b,0.85687655
c66b0948,0.8689151
976a6d64,0.8910279
8bbd8909,0.8420117
522890fd,0.8629166
f23a3b95,0.8352199
680039dc,0.84252954
93028e53,0.7921199
22a16932,0.85352844
7d8126d2,0.8653693
ba2ecd75,0.8964979
8071bdd7,0.829749
96d5aeee,0.8710993
154be68f,0.85897595
d8c2bfe2,0.85977983
f76d47b0,0.862832
0e781ade,0.8001272
13cf6060,0.9180952
cd99f710,0.8451183
d10005bb,0.8860733
3a31445f,0.89456975
3157202d,0.7943597
6ee64703,0.8412804
e5de8685,0.89193326
02cc70ba,0.85867566
50984a87,0.8921583
fa94957a,0.87092143
eab406b4,0.8915168
3ad39398,0.8969559
9ecf3802,0.8594003
6048ae7b,0.89027226
9dc68871,0.9012726
13701465,0.8794355
8d8779f3,0.76479125
0712f269,0.8519144
722c2597,0.9033243
478a2b08,0.87722063
38f5fb41,0.7906382
c52ad74d,0.87573904
0c85fd09,0.9037
f1582cba,0.8838544
ff836697,0.88684475
ddfe4802,0.86946476
3cef3bc7,0.8748114
6a21542b,0.8484188
150e23c4,0.8806999
078c6d99,0.86290187
1dcd1dc3,0.806556
39967e45,0.85967135
6b6333aa,0.8495037
4ae61433,0.86737
f96362e0,0.8996101
97a88aac,0.8675968
427ae8ce,0.82530093
209d4b15,0.87628335
64b453bd,0.87404495
0f5a484e,0.84867275
5ac74969,0.87816674
736ed43e,0.8274685
8533795f,0.83496135
f5b54fb6,0.8479361
6eb4c041,0.8742308
97afdf42,0.8894051
1bb488db,0.7720607
f132e44d,0.7756849
d3c2f140,0.8502262
1756794d,0.876602
9efcc11f,0.850288
14c966cf,0.8479087
59cfe4d1,0.83491945
883151f4,0.8460498
34c4c9ff,0.858259
70b4c2eb,0.8843507
96a337d9,0.8807088
7fe89ffa,0.8905921
057c7a22,0.9044736
451cc057,0.8447496
05076700,0.84853595
